"","year","county","POP_F_TOTAL","POP_M_TOTAL","TOTAL.POP","UCR_AG_ASSLT","UCR_ARSON","UCR_BURGLARY","UCR_MURDER","UCR_MVT","UCR_RAPE","UCR_ROBBERY","UCR_THEFT","UCR_TOTAL"
"1",2000,"ADAMS",8033,8395,16428,21,7,161,0,34,14,5,429,671
"2",2001,"ADAMS",8116,8484,16600,25,10,109,0,42,12,7,490,695
"3",2002,"ADAMS",8115,8485,16600,16,8,173,0,49,5,4,575,830
"4",2003,"ADAMS",8115,8485,16600,22,8,226,0,77,16,4,700,1053
"5",2004,"ADAMS",8165,8535,16700,41,8,265,0,50,9,11,624,1008
"6",2005,"ADAMS",8310,8690,17000,29,7,158,1,64,14,13,505,791
"7",2006,"ADAMS",8455,8845,17300,24,5,172,1,49,7,1,591,850
"8",2007,"ADAMS",8601,8999,17600,26,9,255,2,72,9,4,675,1052
"9",2008,"ADAMS",8697,9103,17800,43,5,183,0,82,9,5,631,958
"10",2009,"ADAMS",8795,9205,18000,31,10,185,1,75,6,19,525,852
"11",2010,"ADAMS",8943,9357,18300,37,6,229,1,72,8,10,566,929
"12",2011,"ADAMS",9292,9658,18950,39,9,209,0,65,4,10,537,873
"13",2012,"ADAMS",9475,9575,19050,0,0,0,0,0,0,0,0,0
"14",2013,"ADAMS",9439,9761,19200,0,0,0,0,0,0,0,0,0
"15",2014,"ADAMS",9518,9882,19400,0,0,0,0,0,0,0,0,0
"16",2000,"ASOTIN",10753,9798,20551,28,2,125,1,41,9,5,686,897
"17",2001,"ASOTIN",10830,9870,20700,41,15,189,0,31,7,11,709,1003
"18",2002,"ASOTIN",10831,9869,20700,31,1,163,0,44,16,2,603,860
"19",2003,"ASOTIN",10780,9820,20600,36,4,172,0,50,6,4,581,853
"20",2004,"ASOTIN",10833,9867,20700,41,7,129,1,57,5,1,554,795
"21",2005,"ASOTIN",10938,9962,20900,30,4,60,1,48,6,7,504,660
"22",2006,"ASOTIN",11042,10058,21100,28,1,84,0,43,2,0,440,598
"23",2007,"ASOTIN",11145,10155,21300,27,3,72,0,34,1,5,434,576
"24",2008,"ASOTIN",11196,10204,21400,32,0,82,1,12,2,4,471,604
"25",2009,"ASOTIN",11247,10253,21500,39,0,102,0,33,3,7,425,609
"26",2010,"ASOTIN",11352,10348,21700,28,4,89,1,13,8,2,469,614
"27",2011,"ASOTIN",11179,10471,21650,34,2,110,0,14,0,2,533,695
"28",2012,"ASOTIN",11157,10543,21700,0,0,0,0,0,0,0,0,0
"29",2013,"ASOTIN",11185,10615,21800,0,0,0,0,0,0,0,0,0
"30",2014,"ASOTIN",11212,10738,21950,0,0,0,0,0,0,0,0,0
"31",2000,"BENTON",71690,70785,142475,246,62,885,2,285,52,51,3849,5432
"32",2001,"BENTON",72826,71974,144800,255,65,889,2,398,43,59,4406,6117
"33",2002,"BENTON",74211,73389,147600,239,43,958,4,417,42,55,3691,5449
"34",2003,"BENTON",76204,75396,151600,306,44,1056,4,259,45,47,3732,5493
"35",2004,"BENTON",77943,77157,155100,278,71,1226,5,351,46,60,4159,6196
"36",2005,"BENTON",79420,78680,158100,298,50,1038,7,447,49,49,4289,6227
"37",2006,"BENTON",80644,79956,160600,368,44,1026,3,340,47,53,3840,5721
"38",2007,"BENTON",81773,81127,162900,287,44,847,3,297,61,56,3401,4996
"39",2008,"BENTON",83057,82443,165500,279,43,902,1,274,75,60,3145,4779
"40",2009,"BENTON",84949,84351,169300,299,49,761,0,267,73,52,3234,4735
"41",2010,"BENTON",86747,86153,172900,277,33,792,3,251,49,54,3357,4816
"42",2011,"BENTON",89031,88869,177900,301,58,995,3,316,57,54,3686,5470
"43",2012,"BENTON",90068,89932,180000,0,0,0,0,0,0,0,0,0
"44",2013,"BENTON",91722,91678,183400,0,0,0,0,0,0,0,0,0
"45",2014,"BENTON",93222,93278,186500,0,0,0,0,0,0,0,0,0
"46",2000,"CHELAN",33458,33158,66616,82,10,461,1,161,39,22,2262,3038
"47",2001,"CHELAN",33685,33415,67100,100,10,604,3,162,27,18,2553,3477
"48",2002,"CHELAN",33928,33672,67600,93,12,526,1,131,28,34,2399,3224
"49",2003,"CHELAN",34073,33827,67900,67,17,560,4,124,44,32,2261,3109
"50",2004,"CHELAN",34319,34081,68400,89,23,570,2,173,46,26,2562,3491
"51",2005,"CHELAN",34712,34488,69200,97,12,485,2,162,35,18,2303,3114
"52",2006,"CHELAN",35155,34945,70100,79,8,366,1,127,20,27,2071,2699
"53",2007,"CHELAN",35695,35505,71200,77,10,377,1,124,34,23,1942,2588
"54",2008,"CHELAN",36139,35961,72100,80,3,332,3,121,36,15,1632,2222
"55",2009,"CHELAN",36384,36216,72600,96,11,322,2,105,26,24,1694,2280
"56",2010,"CHELAN",36734,36566,73300,68,3,325,2,103,34,14,1626,2175
"57",2011,"CHELAN",36434,36266,72700,80,4,386,5,108,13,25,1488,2109
"58",2012,"CHELAN",36712,36488,73200,0,0,0,0,0,0,0,0,0
"59",2013,"CHELAN",36877,36723,73600,0,0,0,0,0,0,0,0,0
"60",2014,"CHELAN",37253,37047,74300,0,0,0,0,0,0,0,0,0
"61",2000,"CLALLAM",32471,31708,64179,54,10,355,1,65,18,11,1505,2019
"62",2001,"CLALLAM",32598,31856,64454,64,21,434,2,92,27,16,1688,2344
"63",2002,"CLALLAM",32816,32084,64900,68,23,468,0,131,12,22,1412,2136
"64",2003,"CLALLAM",33013,32287,65300,78,19,489,0,106,21,10,1533,2256
"65",2004,"CLALLAM",33309,32591,65900,103,24,398,3,127,47,16,1289,2007
"66",2005,"CLALLAM",33751,33049,66800,91,45,488,0,193,53,13,1645,2528
"67",2006,"CLALLAM",34243,33557,67800,105,27,491,2,155,48,18,1733,2579
"68",2007,"CLALLAM",34580,33920,68500,114,19,381,1,120,51,16,1484,2186
